Price,Bedroom2,Landsize,BuildingArea,Lattitude,Longtitude
1480000,2,202,,-37.7996,144.9984
1035000,2,156,79.0,-37.8079,144.9934
1465000,3,134,150.0,-37.8093,144.9944
850000,3,94,,-37.7969,144.9969
1600000,3,120,142.0,-37.8072,144.9941
941000,2,181,,-37.8041,144.9953
1876000,4,245,210.0,-37.8024,144.9993
1636000,2,256,107.0,-37.806,144.9954
300000,1,0,,-37.8008,144.9973
1097000,3,220,75.0,-37.801,144.9989
700000,2,0,,-37.811,145.0067
1350000,3,214,190.0,-37.8085,144.9964
750000,2,0,94.0,-37.8078,144.9965
1172500,2,195,,-37.8084,144.9973
441000,1,0,,-37.8016,144.9988
1310000,2,238,97.0,-37.809,144.9976
1200000,3,113,110.0,-37.8056,144.993
1176500,2,138,105.0,-37.8021,144.9965
955000,3,183,,-37.8022,144.9975
890000,2,150,73.0,-37.8011,145.0004
1330000,4,780,135.0,-37.8073,144.9952
900000,3,0,,-37.8093,144.9959
1090000,3,4290,27.0,-37.8078,144.9965
500000,2,0,60.0,-37.8015,144.9972
1100000,2,124,135.0,-37.8079,144.9977
1315000,2,147,85.0,-37.808,144.994
426000,1,0,,-37.8016,144.9988
1447500,3,166,174.0,-37.8017,145.0001
457000,1,0,50.0,-37.8078,144.9965
1135000,2,98,128.0,-37.8005,144.9952
1542000,4,0,,-37.7994,144.9965
1290000,3,147,18.0,-37.805,144.9943
1290000,3,168,124.0,-37.8007,144.9958
470000,1,0,50.0,-37.8055,144.9961
1180000,2,162,91.0,-37.8016,144.9956
1195000,3,120,128.0,-37.8022,144.9954
1012500,2,182,82.0,-37.8021,144.9976
1030000,2,172,81.0,-37.8086,144.9946
840000,3,303,225.0,-37.718,144.878
730000,3,0,145.0,-37.7203,144.8755
770000,3,0,145.0,-37.7203,144.8755
603000,2,272,84.0,-37.7294,144.888
700000,3,239,134.0,-37.7218,144.8837
600000,2,290,116.0,-37.7273,144.8744
500000,2,168,86.0,-37.7215,144.8864
720000,2,620,,-37.7173,144.8872
785000,3,597,127.0,-37.7259,144.8792
725000,6,976,186.0,-37.7239,144.8735
450000,2,110,90.0,-37.7216,144.871
515000,2,141,73.0,-37.7298,144.8883
530000,2,120,94.0,-37.7234,144.8792
895000,3,1063,133.0,-37.7249,144.8728
805000,3,0,105.0,-37.7217,144.8783
752000,3,265,130.0,-37.7302,144.8855
440000,2,192,,-37.7177,144.8787
755000,3,596,,-37.7248,144.8699
700000,3,165,133.0,-37.727,144.887
830000,3,971,113.0,-37.7186,144.876
462500,2,164,,-37.7218,144.8863
670000,3,657,,-37.7269,144.8742
675000,2,612,100.0,-37.7187,144.8765
1042000,3,612,174.0,-37.7173,144.8796
910000,3,775,,-37.7231,144.8835
773000,5,531,309.0,-37.7263,144.8679
810000,3,555,192.0,-37.7285,144.8694
715000,3,422,126.0,-37.7164,144.8792
790000,3,614,,-37.7194,144.8827
540000,2,161,101.0,-37.7231,144.8802
825000,3,293,102.0,-37.72,144.8776
685000,3,579,113.0,-37.7226,144.8733
805000,3,623,,-37.7184,144.882
510000,2,141,76.0,-37.7202,144.8797
612000,3,212,,-37.7181,144.8824
662000,3,612,,-37.7169,144.8815
978000,4,532,,-37.7263,144.869
720000,3,585,,-37.72,144.878
765000,4,509,,-37.7261,144.8785
900000,4,628,146.0,-37.7256,144.8739
1275000,2,120,82.0,-37.8459,144.9555
1455000,2,159,,-37.845,144.9538
2850000,3,211,198.0,-37.8481,144.9499
1850000,3,128,133.0,-37.8452,144.9488
1436000,2,130,81.0,-37.8431,144.9565
1110000,1,147,,-37.8444,144.9484
1550000,2,167,,-37.8405,144.9521
2300000,4,153,180.0,-37.8447,144.9523
1550000,3,718,,-37.8443,144.9598
1800000,3,132,159.0,-37.8415,144.952
2120000,2,199,107.0,-37.8422,144.9554
1800000,3,253,,-37.8443,144.9579
1800000,3,90,122.0,-37.8421,144.9571
1810000,2,240,,-37.8379,144.9539
2615000,3,177,181.0,-37.8415,144.9585
2100000,5,237,,-37.8436,144.9557
1300000,3,129,,-37.8422,144.949
1370000,3,0,85.0,-37.8451,144.9511
1000000,2,288,,-37.8407,144.9523
2575000,3,228,,-37.8445,144.9501
1322500,2,149,98.0,-37.8443,144.9481
1562500,2,141,83.0,-37.8424,144.9562
2000000,3,211,147.0,-37.847,144.9575
1900000,3,209,,-37.8468,144.9546
3010000,3,147,146.0,-37.8473,144.9551
2800000,4,327,254.0,-37.8467,144.9475
647000,2,0,,-37.846,144.9542
2100000,2,120,123.0,-37.8427,144.9546
2000000,3,238,131.0,-37.8461,144.9528
442500,1,0,34.0,-37.8421,144.9517
4735000,4,330,207.0,-37.8477,144.9558
1340000,2,136,,-37.846,144.9517
1801000,3,202,,-37.8429,144.9493
1532000,3,0,,-37.8415,144.9585
3755000,3,325,,-37.8413,144.95
2140000,3,183,145.0,-37.8434,144.9495
1750000,2,162,,-37.8416,144.9488
980000,2,79,68.0,-37.8387,144.9519
2030000,3,152,,-37.8488,144.9551
1740000,3,147,134.0,-37.8448,144.9453
2800000,3,0,,-37.8399,144.9577
985000,1,81,54.0,-37.8411,144.9497
2000000,3,853,263.0,-37.7707,145.0318
1110000,3,208,,-37.7854,145.0325
1492000,3,411,,-37.7713,145.0279
1717500,4,599,203.0,-37.7717,145.031
2840000,5,809,165.0,-37.775,145.0268
525500,2,88,60.0,-37.7791,145.0306
805000,2,155,140.0,-37.7804,145.0308
465000,2,0,,-37.7773,145.0314
2000000,3,686,,-37.78,145.0341
1540000,3,592,,-37.7755,145.0288
820000,2,183,,-37.7747,145.0264
1830000,4,606,112.0,-37.7743,145.0316
2100000,4,575,271.0,-37.7723,145.0319
865000,3,180,131.0,-37.7802,145.0243
390000,2,0,60.0,-37.7773,145.0314
512000,2,0,61.0,-37.7805,145.0262
1165000,3,979,,-37.7792,145.029
1900000,4,556,272.0,-37.7844,145.0225
1485000,3,597,,-37.7781,145.0284
1950000,4,589,210.0,-37.7719,145.0309
520000,3,352,242.0,-37.87,144.825
